Analysis ID,Date,md_tear
9730,05.31.2017,21
9730,05.31.2017,16
1663,06.06.2017,18
1663,06.06.2017,18
1663,06.06.2017,18
1663,06.06.2017,19
1663,06.06.2017,16
1663,06.06.2017,18
1663,06.06.2017,20
1664,06.06.2017,17
1664,06.06.2017,18
1664,06.06.2017,18
1664,06.06.2017,19
9750,07.06.2017,15
9750,07.06.2017,16
9750,07.06.2017,17
9750,07.06.2017,18
9750,07.06.2017,21
9789,09.06.2017,10
9789,09.06.2017,10
9789,09.06.2017,14
9789,09.06.2017,12
9789,09.06.2017,13
9789,09.06.2017,19
9789,09.06.2017,15
9789,09.06.2017,15
9789,09.06.2017,10
9789,09.06.2017,7
9789,09.06.2017,15
9789,09.06.2017,16
9789,09.06.2017,12
9789,09.06.2017,12
9789,09.06.2017,19
9789,09.06.2017,12
9789,09.13.2017,9
9789,09.13.2017,9
9789,09.13.2017,12
9789,09.13.2017,8
9789,09.13.2017,16
9789,09.13.2017,4
9789,09.13.2017,12
9789,09.13.2017,12
9789,09.13.2017,13
9789,09.13.2017,12
9789,09.13.2017,11
9789,09.13.2017,11
9789,09.13.2017,14
9789,09.13.2017,10
9789,09.13.2017,13
9789,09.13.2017,13
9789,09.13.2017,13
9789,09.13.2017,10
9789,09.13.2017,20
9789,09.13.2017,10
9789,09.13.2017,10
9789,09.13.2017,9
9789,09.13.2017,10
9789,09.14.2017,10
9789,09.14.2017,14
9789,09.14.2017,16
9789,09.14.2017,15
9789,09.14.2017,10
9789,09.14.2017,13
9789,09.14.2017,12
9789,09.14.2017,14
9789,09.14.2017,7
9789,09.14.2017,10
9789,09.14.2017,7
9789,09.14.2017,12
9789,09.14.2017,12
9789,09.14.2017,13
9789,09.14.2017,10
9789,09.14.2017,11
9789,09.14.2017,11
9789,09.14.2017,13
9789,09.14.2017,10
9789,09.14.2017,12
9789,09.21.2017,10
9789,09.21.2017,12
9789,09.21.2017,13
9789,09.21.2017,13
9789,09.21.2017,15
9789,09.21.2017,15
9789,09.21.2017,14
9789,09.21.2017,15
9789,09.21.2017,18
9789,09.21.2017,11
9789,09.21.2017,11
9789,09.21.2017,12
9789,09.21.2017,14
9789,09.21.2017,14
9789,09.21.2017,14
9789,09.21.2017,14
9789,09.21.2017,12
9789,09.21.2017,15
9789,09.21.2017,13
9789,09.21.2017,10
9789,09.21.2017,12
9789,09.21.2017,10
9789,09.21.2017,13
9789,09.21.2017,11
9789,09.21.2017.1,10
9789,09.21.2017.1,12
9789,09.21.2017.1,11
